,Country,Code,Year,Renewables (% equivalent primary energy)
222,Argentina,ARG,2010,11.650168
223,Argentina,ARG,2011,10.914268
224,Argentina,ARG,2012,10.176803
225,Argentina,ARG,2013,10.940409
226,Argentina,ARG,2014,11.038969
227,Argentina,ARG,2015,10.89336
228,Argentina,ARG,2016,10.17179
229,Argentina,ARG,2017,10.979133
230,Argentina,ARG,2018,11.331651
231,Argentina,ARG,2019,11.911147
232,Argentina,ARG,2020,12.310073
399,Australia,AUS,2010,4.312805
400,Australia,AUS,2011,5.688442
401,Australia,AUS,2012,5.688193
402,Australia,AUS,2013,6.5121694
403,Australia,AUS,2014,5.9665823
404,Australia,AUS,2015,6.2833033
405,Australia,AUS,2016,7.1866975
406,Australia,AUS,2017,6.744328
407,Australia,AUS,2018,8.280843
408,Australia,AUS,2019,8.875714
409,Australia,AUS,2020,10.848229
707,Brazil,BRA,2010,43.85847
708,Brazil,BRA,2011,43.93462
709,Brazil,BRA,2012,41.70022
710,Brazil,BRA,2013,39.92749
711,Brazil,BRA,2014,38.842846
712,Brazil,BRA,2015,40.033836
713,Brazil,BRA,2016,42.97847
714,Brazil,BRA,2017,42.650604
715,Brazil,BRA,2018,45.428116
716,Brazil,BRA,2019,46.808254
717,Brazil,BRA,2020,48.693333
1055,China,CHN,2010,7.6156235
1056,China,CHN,2011,7.083536
1057,China,CHN,2012,8.521457
1058,China,CHN,2013,8.958172
1059,China,CHN,2014,10.227447
1060,China,CHN,2015,10.835855
1061,China,CHN,2016,11.725009
1062,China,CHN,2017,12.291223
1063,China,CHN,2018,12.862764
1064,China,CHN,2019,13.459068
1065,China,CHN,2020,14.080283
1399,Egypt,EGY,2010,4.4617195
1400,Egypt,EGY,2011,4.315468
1401,Egypt,EGY,2012,4.160286
1402,Egypt,EGY,2013,4.15519
1403,Egypt,EGY,2014,4.1552024
1404,Egypt,EGY,2015,4.3093953
1405,Egypt,EGY,2016,4.1127086
1406,Egypt,EGY,2017,3.8524866
1407,Egypt,EGY,2018,4.065821
1408,Egypt,EGY,2019,5.1530914
1409,Egypt,EGY,2020,6.528981
1783,Germany,DEU,2010,8.792499
1784,Germany,DEU,2011,10.566928
1785,Germany,DEU,2012,11.899734
1786,Germany,DEU,2013,12.063284
1787,Germany,DEU,2014,13.335284
1788,Germany,DEU,2015,14.878483
1789,Germany,DEU,2016,14.665688
1790,Germany,DEU,2017,16.26483
1791,Germany,DEU,2018,17.168362
1792,Germany,DEU,2019,18.82998
1793,Germany,DEU,2020,21.123863
2142,Iran,IRN,2010,1.1913837
2143,Iran,IRN,2011,1.1921026
2144,Iran,IRN,2012,1.3767738
2145,Iran,IRN,2013,1.5277675
2146,Iran,IRN,2014,1.444072
2147,Iran,IRN,2015,1.320366
2148,Iran,IRN,2016,1.4484855
2149,Iran,IRN,2017,1.5695099
2150,Iran,IRN,2018,0.92631114
2151,Iran,IRN,2019,2.8355055
2152,Iran,IRN,2020,1.9334664
2352,Japan,JPN,2010,5.649895
2353,Japan,JPN,2011,5.6971593
2354,Japan,JPN,2012,5.6249747
2355,Japan,JPN,2013,6.106115
2356,Japan,JPN,2014,6.918495
2357,Japan,JPN,2015,8.037719
2358,Japan,JPN,2016,7.962104
2359,Japan,JPN,2017,8.4127655
2360,Japan,JPN,2018,9.054853
2361,Japan,JPN,2019,9.284181
2362,Japan,JPN,2020,10.928532
2700,Mexico,MEX,2010,6.1123457
2701,Mexico,MEX,2011,5.743796
2702,Mexico,MEX,2012,5.3235054
2703,Mexico,MEX,2013,4.936131
2704,Mexico,MEX,2014,6.612726
2705,Mexico,MEX,2015,5.9951878
2706,Mexico,MEX,2016,5.9304824
2707,Mexico,MEX,2017,6.0061207
2708,Mexico,MEX,2018,6.582444
2709,Mexico,MEX,2019,6.9041133
2710,Mexico,MEX,2020,9.102366
3600,Portugal,PRT,2010,27.481777
3601,Portugal,PRT,2011,24.613186
3602,Portugal,PRT,2012,21.803562
3603,Portugal,PRT,2013,29.319233
3604,Portugal,PRT,2014,30.905666
3605,Portugal,PRT,2015,24.606659
3606,Portugal,PRT,2016,29.398247
3607,Portugal,PRT,2017,21.441797
3608,Portugal,PRT,2018,26.868528
3609,Portugal,PRT,2019,26.366737
3610,Portugal,PRT,2020,31.739735
4547,United States,USA,2010,5.8401756
4548,United States,USA,2011,6.8965087
4549,United States,USA,2012,6.8864713
4550,United States,USA,2013,7.1343727
4551,United States,USA,2014,7.2629757
4552,United States,USA,2015,7.468629
4553,United States,USA,2016,8.28383
4554,United States,USA,2017,9.080356
4555,United States,USA,2018,8.962757
4556,United States,USA,2019,9.312867
4557,United States,USA,2020,10.519768
